admission_no,fee_type,amount,date,payment_mode,transaction_no,description
311422104064,Tuition Fees,37500,01-10-2025,CASH,2462,
311423622048,Tuition Fees,50000,01-10-2025,CASH,2463,
311423106072,Tuition Fees,35000,03-10-2025,CASH,2464,
311422104084,Tuition Fees,35000,03-10-2025,CASH,2465,
311422205069,Other Fee,23000,03-10-2025,CASH,2466,
MCE2025CSE085,Tuition Fees,85000,03-10-2025,UPI,2467,
MCE2025IT073,Tuition Fees,70000,04-10-2025,CASH,2468,
311425205001,Other Fee,10000,04-10-2025,CASH,2469,
MCE2025AIML048,Tuition Fees,35000,04-10-2025,CASH,2470,
2025MECSE009,Tuition Fees,15000,06-10-2025,CASH,2471,
311423106039,Tuition Fees,19250,06-10-2025,CASH,2472,
311424107007,Tuition Fees,33000,06-10-2025,CASH,2473,
311423104002,Tuition Fees,78000,06-10-2025,DD,2474,
311423104002,Other Fee,2000,06-10-2025,CASH,2475,
MCE2025MBA037,Tuition Fees,30000,06-10-2025,CASH,2476,
311423104039,Other Fee,28000,06-10-2025,ONLINE,2477,The payment was made through the online student portal
311423104062,Tuition Fees,80000,06-10-2025,CASH,2478,
311423104039,Other Fee,2000,06-10-2025,ONLINE,2479,The payment was made through the online student portal
311424243053,Other Fee,25000,06-10-2025,CASH,2480,
311422103004,Other Fee,8000,06-10-2025,CASH,2481,
311424104049,Other Fee,3000,06-10-2025,CASH,2482,
311424622021,Tuition Fees,35000,06-10-2025,DD,2483,
311424622021,Tuition Fees,19000,06-10-2025,CASH,2484,
MCE2025IT084,Other Fee,50000,06-10-2025,UPI,2485,
311422107007,Other Fee,10000,06-10-2025,CASH,2486,
311422104034,Tuition Fees,78000,06-10-2025,CASH,2487,
311422106043,Tuition Fees,68000,07-10-2025,CASH,2488,
311422104070,Tuition Fees,78000,07-10-2025,ONLINE,2489,The payment was made through the online student portal
311422106701,Other Fee,22800,07-10-2025,CASH,2490,
311422205109,Tuition Fees,48000,07-10-2025,CASH,2491,
311423243010,Tuition Fees,83000,07-10-2025,CASH,2492